"Name";"Constituency";"Minister";"Attendance";"Debates";"Questions";"Private Member Bills";"State";"Party";"Nature of membership";"Start of Term";"End of Term";"No. of Term";"Age";"Gender";"Education";"Comment";"Lok Sabha";"Debates (Special Mention)";"Debates (Ls - Matters Under (Rule-377))";"Debates (Government Bills)";"Debates (Budget (General))";"Debates (Budget (Railways))";"Debates (Motion Of Thanks On The President'S Address)";"Debates (Submissions By Members)";"Debates (Ls - Motion To Consider Policy, Situation, Statement Or Any Other Matter (Rule- 191 & 342))";"Debates (Ls - Short Duration Discussions (Rule-193))";"Questions (Tribal Affairs)";"Questions (Finance)";"Questions (Health And Family Welfare)";"Questions (Corporate Affairs)";"Questions (Heavy Industries And Public Enterprises)";"Questions (Railways)";"Questions (Human Resource Development)";"Questions (Urban Development)";"Questions (Home Affairs)";"Questions (Agriculture)";"Questions (Civil Aviation)";"Questions (Prime Minister)";"Questions (Consumer Affairs, Food And Public Distribution)";"Questions (Environment And Forests)";"Questions (Labour And Employment)";"Questions (Defence)";"Questions (Power)";"Questions (Social Justice And Empowerment)";"Questions (Road Transport And Highways)";"Questions (Steel)";"Questions (Petroleum And Natural Gas)";"Questions (Minority Affairs)";"Questions (Communications And Information Technology)";"Questions (Rural Development)";"Questions (Commerce And Industry)";"Questions (Overseas Indian Affairs)";"Questions (External Affairs)";"Questions (Chemicals And Fertilizers)";"Questions (Law And Justice)";"Questions (Mines)";"Questions (Women And Child Development)";"Questions (New And Renewable Energy)";"Questions (Shipping)";"Questions (Tourism)";"Questions (Micro, Small And Medium Enterprises)";"Questions (Information And Broadcasting)";"Questions (Textiles)";"Questions (Water Resources)";"Questions (Culture)";"Questions (Youth Affairs And Sports)";"Questions (Coal)";"Questions (Housing And Urban Poverty Alleviation)";"Questions (Drinking Water And Sanitation)";"Questions (Development Of North Eastern Region)";"Questions (Earth Sciences)";"Questions (Panchayati Raj)";"Questions (Food Processing Industries)";"Questions (Statistics And Programme Implementation)";"Questions (Science And Technology)";"Debates (Private Members' Bills)";"Debates (Private Members' Resolutions)";"Debates (Government Resolutions)";"Debates (Ls - Calling Attention (Rule-197))";"Debates (Budget (States))";"Debates (Ls - Matters Of Urgent Public Importance (Rule-184))";"Debates (Statutory Resolutions)";"Debates (Felicitations)";"Debates (Adjournment Motion)";"Debates (Ls - Half-An-Hour Discussions (Rule-55))";"Questions (Parliamentary Affairs)";"Debates (Others)";"Debates (Clarification On The Statement By Minister)";"Questions (Planning)";"Debates (Ls - Explanation By Members (Rule-199))"
"Partap Singh Bajwa";"Gurdaspur";"No";"82.00%";"37";"359";"1";"Punjab";"Indian National Congress";"Elected";"18 May 09";"In office";"";"57";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"14";"9";"4";"2";"3";"0";"3";"0";"1";"1";"16";"34";"0";"3";"8";"19";"5";"20";"21";"19";"11";"13";"8";"5";"18";"10";"1";"4";"0";"9";"1";"20";"9";"12";"2";"6";"11";"4";"1";"4";"7";"2";"2";"2";"3";"6";"8";"5";"9";"8";"3";"1";"0";"1";"0";"2";"0";"5";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Pashupati Nath Singh";"Dhanbad";"No";"91.06%";"24";"301";"0";"Jharkhand";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"64";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"8";"9";"0";"2";"2";"2";"0";"0";"0";"4";"21";"21";"0";"2";"8";"20";"2";"17";"15";"5";"17";"20";"4";"12";"7";"9";"0";"5";"6";"8";"1";"10";"11";"2";"1";"3";"6";"4";"6";"6";"1";"2";"1";"2";"3";"3";"13";"0";"0";"14";"1";"0";"0";"1";"1";"4";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Pawan Kumar Bansal";"Chandigarh";"Yes";"85.00%";"0";"26";"0";"Chandigarh";"Indian National Congress";"Elected";"18 May 09";"In office";"";"65";"Male";"Graduate";"This MP was a Minister. He tendered his resignation on 12th May, 2013. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 12th May, 2013. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"5";"1";"6";"0";"0";"0";"0";"0";"1";"0";"1";"1";"2";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"P. Balram";"Mahabubabad";"Yes";"69.45%";"10";"429";"0";"Andhra Pradesh";"Indian National Congress";"Elected";"18 May 09";"In office";"";"49";"Male";"Graduate";"This MP was appointed a minister in Oct, 2012. Ministers represent the government, so we do not report their participation. Participation and attendance details for this MP are thus available only till 7th Sep, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"9";"1";"0";"0";"0";"0";"0";"0";"9";"30";"21";"2";"1";"19";"18";"1";"17";"22";"18";"15";"19";"12";"5";"6";"14";"7";"7";"4";"19";"4";"11";"16";"28";"6";"10";"7";"7";"6";"2";"0";"4";"3";"5";"5";"9";"6";"2";"11";"2";"3";"0";"0";"0";"6";"5";"2";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"P.C. Chacko";"Thrissur";"No";"90.56%";"24";"28";"0";"Kerala";"Indian National Congress";"Elected";"18 May 09";"In office";"";"67";"Male";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"4";"3";"7";"2";"1";"3";"0";"1";"2";"0";"1";"0";"0";"0";"1";"0";"0";"1";"1";"2";"5";"2";"2";"0";"3";"0";"0";"2";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"P.C. Gaddigoudar";"Bagalkot";"No";"74.12%";"8";"413";"0";"Karnataka";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"62";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"3";"0";"0";"1";"3";"0";"0";"0";"0";"0";"34";"36";"0";"0";"13";"21";"1";"26";"27";"9";"16";"12";"21";"13";"8";"6";"6";"4";"0";"9";"0";"9";"11";"13";"3";"6";"5";"9";"4";"12";"4";"0";"3";"7";"6";"14";"15";"8";"6";"4";"5";"2";"0";"0";"1";"1";"2";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"P. C. Mohan";"Bangalore Central";"No";"72.94%";"5";"252";"0";"Karnataka";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"50";"Male";"Inter/ Higher Secondary";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"0";"2";"1";"1";"0";"0";"0";"0";"20";"17";"0";"2";"9";"9";"5";"24";"12";"13";"13";"13";"8";"8";"9";"7";"2";"4";"0";"13";"0";"5";"5";"5";"0";"15";"8";"2";"1";"1";"3";"0";"1";"4";"2";"3";"3";"0";"0";"1";"3";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Pinaki Misra";"Puri";"No";"72.37%";"17";"19";"0";"Orissa";"Biju Janata Dal";"Elected";"18 May 09";"In office";"";"54";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"2";"0";"5";"2";"1";"0";"1";"1";"4";"1";"5";"0";"0";"0";"0";"3";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"3";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"P. Jaya Prada Nahata";"Rampur";"No";"42.56%";"27";"395";"0";"Uttar Pradesh";"Independent";"Elected";"18 May 09";"In office";"";"51";"Female";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"12";"0";"4";"0";"0";"2";"6";"1";"1";"0";"32";"29";"0";"0";"31";"18";"9";"29";"13";"7";"16";"18";"16";"6";"18";"5";"6";"7";"1";"12";"4";"13";"26";"9";"1";"13";"2";"6";"0";"10";"0";"1";"0";"1";"3";"13";"3";"1";"9";"2";"0";"3";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"P. Karunakaran";"Kasaragod";"No";"76.19%";"99";"595";"0";"Kerala";"Communist Party of India (Marxist)";"Elected";"18 May 09";"In office";"";"68";"Male";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"39";"21";"6";"12";"7";"2";"1";"1";"6";"6";"32";"47";"3";"2";"37";"27";"2";"26";"37";"23";"21";"38";"12";"24";"12";"16";"11";"13";"2";"15";"11";"13";"17";"17";"8";"11";"3";"8";"3";"13";"1";"3";"5";"5";"3";"16";"9";"9";"3";"8";"5";"4";"3";"1";"5";"2";"0";"3";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"P. K. Biju";"Alathur";"No";"85.88%";"106";"452";"0";"Kerala";"Communist Party of India (Marxist)";"Elected";"18 May 09";"In office";"";"39";"Male";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"60";"18";"7";"5";"1";"0";"11";"1";"2";"6";"20";"34";"1";"1";"15";"34";"4";"23";"15";"9";"16";"25";"14";"11";"14";"10";"1";"11";"4";"13";"10";"17";"13";"9";"12";"6";"11";"5";"7";"8";"7";"10";"3";"2";"9";"4";"6";"3";"9";"6";"3";"0";"0";"0";"2";"0";"1";"8";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"P. Kumar";"Tiruchirappalli";"No";"85.31%";"55";"596";"0";"Tamil Nadu";"All India Anna Dravida Munnetra Kazhagam";"Elected";"18 May 09";"In office";"";"42";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"16";"14";"4";"8";"7";"2";"0";"2";"2";"2";"49";"46";"3";"9";"47";"25";"11";"28";"24";"31";"22";"23";"20";"13";"22";"16";"3";"24";"3";"17";"0";"23";"11";"16";"0";"9";"5";"7";"1";"3";"7";"6";"2";"3";"5";"11";"18";"1";"2";"17";"4";"2";"0";"1";"0";"3";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"P. Lingam";"Tenkasi";"No";"96.81%";"87";"334";"0";"Tamil Nadu";"Communist Party of India";"Elected";"18 May 09";"In office";"";"48";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"41";"19";"5";"6";"6";"0";"2";"1";"6";"1";"22";"17";"2";"1";"21";"17";"1";"23";"14";"11";"15";"24";"11";"10";"11";"5";"3";"7";"0";"7";"0";"13";"24";"7";"0";"23";"7";"4";"2";"6";"0";"4";"1";"1";"2";"5";"6";"0";"0";"3";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"P.L. Punia";"Barabanki";"No";"99.06%";"289";"656";"11";"Uttar Pradesh";"Indian National Congress";"Elected";"18 May 09";"In office";"";"69";"Male";"Doctorate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"171";"33";"20";"15";"10";"3";"24";"1";"6";"3";"44";"49";"3";"5";"60";"58";"6";"49";"31";"15";"25";"28";"33";"16";"8";"14";"13";"17";"2";"11";"4";"18";"28";"8";"1";"6";"5";"10";"2";"11";"4";"1";"2";"2";"8";"10";"10";"3";"6";"3";"6";"5";"1";"0";"8";"2";"1";"1";"0";"2";"1";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Poonamben Veljibhai Jat";"Kachchh";"No";"80.00%";"33";"102";"0";"Gujarat";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"42";"Female";"Inter/ Higher Secondary";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"9";"2";"2";"3";"5";"2";"5";"0";"3";"0";"5";"4";"0";"0";"14";"4";"1";"11";"6";"2";"0";"3";"9";"0";"1";"3";"0";"8";"0";"4";"1";"0";"2";"4";"0";"4";"0";"0";"1";"0";"1";"3";"0";"1";"0";"1";"3";"1";"0";"3";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Prabhakar Ponnam";"Karimnagar";"No";"89.38%";"67";"935";"0";"Andhra Pradesh";"Indian National Congress";"Elected";"18 May 09";"In office";"";"46";"Male";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"20";"40";"3";"1";"2";"0";"0";"0";"0";"5";"91";"29";"3";"9";"31";"59";"10";"42";"58";"36";"17";"38";"42";"14";"26";"21";"12";"20";"6";"52";"6";"41";"23";"50";"4";"27";"21";"10";"9";"8";"4";"5";"4";"3";"16";"19";"15";"3";"7";"14";"2";"5";"1";"0";"6";"8";"1";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Prabha Kishore Taviad";"Dahod";"No";"93.75%";"26";"4";"0";"Gujarat";"Indian National Congress";"Elected";"18 May 09";"In office";"";"59";"Female";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"8";"1";"5";"3";"5";"0";"2";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Prabhatsinh Pratapsinh Chauhan";"Panchmahal";"No";"84.75%";"1";"145";"0";"Gujarat";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"72";"Male";"Inter/ Higher Secondary";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"5";"4";"1";"0";"9";"7";"4";"4";"5";"4";"2";"4";"7";"5";"3";"5";"4";"6";"2";"5";"1";"2";"6";"5";"2";"7";"3";"3";"3";"0";"2";"5";"1";"1";"2";"3";"2";"0";"1";"1";"4";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Prabhunath Singh";"Maharajganj";"No";"76.67%";"12";"34";"0";"Bihar";"Rashtriya Janata Dal";"Elected";"5 Aug 13";"In office";"";"60";"Male";"Inter/ Higher Secondary";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"8";"1";"1";"1";"0";"0";"1";"0";"0";"0";"3";"4";"0";"0";"1";"1";"2";"1";"0";"0";"3";"1";"1";"0";"1";"0";"1";"1";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"1";"1";"0";"2";"0";"0";"2";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Prabodh Panda";"Medinipur";"No";"90.62%";"148";"585";"1";"West Bengal";"Communist Party of India";"Elected";"18 May 09";"In office";"";"68";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"12";"35";"45";"20";"9";"4";"4";"0";"12";"2";"50";"24";"1";"5";"70";"20";"7";"43";"36";"17";"12";"37";"8";"21";"19";"10";"2";"12";"4";"12";"0";"10";"16";"29";"0";"20";"7";"9";"4";"7";"2";"15";"2";"0";"4";"3";"14";"1";"6";"14";"1";"3";"0";"1";"1";"2";"2";"0";"0";"0";"1";"1";"1";"0";"0";"0";"2";"1";"0";"0";"1";"0";"0"
"Pradeep Kumar Jain Aditya";"Jhansi";"Yes";"";"0";"0";"0";"Uttar Pradesh";"Indian National Congress";"Elected";"18 May 09";"In office";"";"51";"Male";"Post Graduate";"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Pradeep Kumar Majhi";"Nabarangpur";"No";"53.56%";"9";"1101";"0";"Orissa";"Indian National Congress";"Elected";"18 May 09";"In office";"";"38";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"4";"3";"0";"0";"2";"0";"0";"0";"0";"6";"64";"62";"12";"11";"39";"49";"18";"76";"53";"45";"42";"34";"25";"20";"47";"24";"11";"22";"7";"38";"0";"36";"33";"46";"4";"21";"12";"14";"13";"20";"9";"15";"19";"19";"16";"10";"18";"10";"9";"27";"7";"6";"0";"7";"2";"13";"2";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Pradeep Kumar Singh";"Araria";"No";"70.62%";"6";"166";"0";"Bihar";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"49";"Male";"Matric";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"3";"0";"0";"0";"2";"1";"0";"0";"0";"1";"8";"7";"0";"1";"3";"15";"1";"16";"7";"12";"2";"12";"8";"1";"5";"9";"2";"9";"1";"5";"1";"4";"5";"2";"0";"6";"0";"1";"0";"2";"1";"0";"2";"1";"1";"0";"1";"2";"1";"1";"3";"5";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Pradeep Tamta";"Almora";"No";"95.88%";"13";"2";"3";"Uttarakhand";"Indian National Congress";"Elected";"18 May 09";"In office";"";"55";"Male";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"1";"0";"2";"3";"1";"1";"0";"0";"3";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Praful Manoharbhai Patel";"Bhandara-Gondiya";"Yes";"";"0";"0";"0";"Maharashtra";"Nationalist Congress Party";"Elected";"18 May 09";"In office";"";"57";"Male";"Graduate";"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Pralhad Venkatesh Joshi";"Dharwad";"No";"75.13%";"69";"632";"0";"Karnataka";"Bharatiya Janata Party";"Elected";"18 May 09";"In office";"";"51";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"29";"3";"6";"9";"6";"4";"5";"0";"5";"5";"40";"41";"4";"5";"16";"36";"10";"42";"39";"20";"22";"25";"17";"17";"21";"26";"8";"14";"6";"9";"2";"17";"25";"35";"3";"14";"8";"10";"1";"20";"7";"1";"2";"5";"7";"3";"14";"5";"6";"7";"8";"4";"2";"0";"1";"2";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Pranab Mukherjee";"Jangipur";"Yes";"";"0";"0";"0";"West Bengal";"Indian National Congress";"Elected";"18 May 09";"25/07/2012";"";"78";"Male";"Post Graduate";"This MP was a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Prasanna Kumar Patasani";"Bhubaneswar";"No";"81.12%";"58";"139";"0";"Orissa";"Biju Janata Dal";"Elected";"18 May 09";"In office";"";"67";"Male";"Doctorate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"11";"4";"10";"10";"7";"1";"5";"0";"7";"1";"14";"5";"1";"0";"3";"5";"8";"20";"3";"9";"7";"1";"4";"1";"4";"6";"0";"7";"0";"13";"1";"7";"0";"6";"0";"3";"4";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Prasanta Kumar Majumdar";"Balurghat";"No";"78.31%";"138";"468";"2";"West Bengal";"Revolutionary Socialist Party";"Elected";"18 May 09";"In office";"";"73";"Male";"Post Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"22";"18";"45";"13";"6";"4";"2";"3";"21";"6";"22";"15";"1";"2";"23";"22";"6";"29";"30";"9";"22";"16";"15";"8";"4";"1";"16";"9";"11";"13";"2";"9";"24";"15";"6";"7";"4";"4";"7";"16";"8";"2";"5";"6";"9";"11";"13";"2";"9";"13";"4";"3";"1";"1";"1";"6";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Prasun Banerjee";"Howrah";"No";"57.67%";"0";"0";"0";"West Bengal";"All India Trinamool Congress";"Elected";"5 Aug 13";"In office";"";"";"Male";"Information not available";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Pratibha Singh";"Mandi";"No";"100.00%";"1";"8";"0";"Himachal Pradesh";"Indian National Congress";"Elected";"5 Aug 13";"In office";"";"57";"Female";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Pratik Prakashbapu Patil";"Sangli";"Yes";"";"0";"0";"0";"Maharashtra";"Indian National Congress";"Elected";"18 May 09";"In office";"";"40";"Male";"Diploma Course";"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Praveen Singh Aron";"Bareilly";"No";"66.00%";"6";"12";"0";"Uttar Pradesh";"Indian National Congress";"Elected";"18 May 09";"In office";"";"54";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"3";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"2";"0";"2";"0";"0";"1";"0";"1";"1";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Premchandra Guddu";"Ujjain";"No";"79.44%";"21";"257";"0";"Madhya Pradesh";"Indian National Congress";"Elected";"18 May 09";"In office";"";"53";"Male";"Inter/ Higher Secondary";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"4";"11";"0";"3";"3";"0";"0";"0";"0";"1";"10";"23";"1";"2";"31";"11";"10";"5";"6";"8";"6";"6";"12";"7";"0";"6";"13";"11";"3";"8";"2";"13";"18";"1";"0";"0";"2";"0";"2";"1";"2";"0";"3";"2";"5";"3";"5";"1";"3";"0";"5";"5";"0";"1";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Premdas Katheria";"Etawah";"No";"91.25%";"54";"156";"0";"Uttar Pradesh";"Samajwadi Party";"Elected";"18 May 09";"In office";"";"49";"Male";"Graduate";"(Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)";"15th";"20";"7";"1";"6";"7";"1";"0";"1";"8";"1";"5";"27";"0";"0";"8";"7";"4";"9";"11";"1";"3";"15";"6";"3";"8";"8";"3";"8";"0";"1";"1";"5";"3";"3";"0";"1";"4";"0";"0";"1";"1";"0";"0";"0";"1";"1";"2";"2";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
